"tweet_id","topic_id","probability","assigned_at"
"1345980582757605376","24","0.0","2026-05-04T10:24:25.877157+00:00"
"1345997387760889857","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1345998972641542144","50","0.0","2026-05-04T10:24:25.877157+00:00"
"1346001090630868992","44","0.0","2026-05-04T10:24:25.877157+00:00"
"1346002888733171713","61","0.0","2026-05-04T10:24:25.877157+00:00"
"1346004932873359361","130","0.0","2026-05-04T10:24:25.877157+00:00"
"1346005229444206592","20","0.0","2026-05-04T10:24:25.877157+00:00"
"1346005358934896641","187","0.0","2026-05-04T10:24:25.877157+00:00"
"1346005513734074368","196","0.0","2026-05-04T10:24:25.877157+00:00"
"1346005761877553158","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1346009683153321984","20","0.0","2026-05-04T10:24:25.877157+00:00"
"1346016145510453248","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1346025774873255937","191","0.0","2026-05-04T10:24:25.877157+00:00"
"1346049698264719360","42","0.0","2026-05-04T10:24:25.877157+00:00"
"1346049881761337346","161","0.0","2026-05-04T10:24:25.877157+00:00"
"1346054489082634241","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1346081618155294720","230","0.0","2026-05-04T10:24:25.877157+00:00"
"1346092397944516610","42","0.0","2026-05-04T10:24:25.877157+00:00"
"1346092911276953601","3","0.0","2026-05-04T10:24:25.877157+00:00"
"1346093679841312768","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346094200308293633","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1346096825615458308","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1346099913642430464","148","0.0","2026-05-04T10:24:25.877157+00:00"
"1346100069720854531","52","0.0","2026-05-04T10:24:25.877157+00:00"
"1346101567565549570","25","0.0","2026-05-04T10:24:25.877157+00:00"
"1346106294973964289","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346106545621381122","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346106755479203841","50","0.0","2026-05-04T10:24:25.877157+00:00"
"1346108809006247939","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1346109539897249792","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1346113611157168129","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1346118396832870410","56","0.0","2026-05-04T10:24:25.877157+00:00"
"1346118553758523392","56","0.0","2026-05-04T10:24:25.877157+00:00"
"1346119322373136385","191","0.0","2026-05-04T10:24:25.877157+00:00"
"1346123821418475521","12","0.0","2026-05-04T10:24:25.877157+00:00"
"1346128902331240449","22","0.0","2026-05-04T10:24:25.877157+00:00"
"1346130965471629313","71","0.0","2026-05-04T10:24:25.877157+00:00"
"1346137674374066176","81","0.0","2026-05-04T10:24:25.877157+00:00"
"1346138427289382912","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1346138872183476229","71","0.0","2026-05-04T10:24:25.877157+00:00"
"1346139998098255872","178","0.0","2026-05-04T10:24:25.877157+00:00"
"1346143380825378816","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1346145784484532224","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1346159203505885185","73","0.0","2026-05-04T10:24:25.877157+00:00"
"1346159923986649090","1","0.0","2026-05-04T10:24:25.877157+00:00"
"1346160285980237824","38","0.0","2026-05-04T10:24:25.877157+00:00"
"1346168876543979521","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1346169180509401092","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346169594143244302","14","0.0","2026-05-04T10:24:25.877157+00:00"
"1346169637197778945","24","0.0","2026-05-04T10:24:25.877157+00:00"
"1346171950503178243","6","0.0","2026-05-04T10:24:25.877157+00:00"
"1346175366717706244","86","0.0","2026-05-04T10:24:25.877157+00:00"
"1346264978555342848","220","0.0","2026-05-04T10:24:25.877157+00:00"
"1346299526735388672","20","0.0","2026-05-04T10:24:25.877157+00:00"
"1346302075743969280","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1346308482329432070","24","0.0","2026-05-04T10:24:25.877157+00:00"
"1346335208115728384","130","0.0","2026-05-04T10:24:25.877157+00:00"
"1346336011668889600","202","0.0","2026-05-04T10:24:25.877157+00:00"
"1346336699706716161","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1346342998188163074","10","0.0","2026-05-04T10:24:25.877157+00:00"
"1346343427324174336","79","0.0","2026-05-04T10:24:25.877157+00:00"
"1346345507967348737","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1346345988668194817","13","0.0","2026-05-04T10:24:25.877157+00:00"
"1346349429075435522","49","0.0","2026-05-04T10:24:25.877157+00:00"
"1346350860532658176","67","0.0","2026-05-04T10:24:25.877157+00:00"
"1346352175182729216","50","0.0","2026-05-04T10:24:25.877157+00:00"
"1346352752046256128","20","0.0","2026-05-04T10:24:25.877157+00:00"
"1346354672848793601","60","0.0","2026-05-04T10:24:25.877157+00:00"
"1346366445060579328","16","0.0","2026-05-04T10:24:25.877157+00:00"
"1346372222450081793","19","0.0","2026-05-04T10:24:25.877157+00:00"
"1346375487459880960","2","0.0","2026-05-04T10:24:25.877157+00:00"
"1346375507772903424","95","0.0","2026-05-04T10:24:25.877157+00:00"
